system	scale	check	expected	observed	status	raw_artifact	notes
LiveGraph	SF1	scan_edges_equals_dense_edges	34692699	34692699	PASS	baseline/external-baselines-20260624/livegraph/correctness.tsv	SemL0 scan dump vs dense converter edge count
LiveGraph	SF1	dense_edges_equals_livegraph_edges	34692699	34692699	PASS	baseline/external-baselines-20260624/livegraph/correctness.tsv	converter output vs LiveGraph loaded edge count
LiveGraph	SF1	positive_edge_type_scans	>=3	17	PASS	baseline/external-baselines-20260624/livegraph/correctness.tsv	positive typed-neighbor scan coverage
LiveGraph	SF1	query_count_digest	mismatches=0	checked=16140; unique=13898; mismatches=0	PASS	baseline/external-baselines-20260624/livegraph/correctness.tsv	fixed-seed dense-list vs LiveGraph count/hash digest; seed=42; samples_per_edge_type=500
LiveGraph	SF10	scan_edges_equals_dense_edges	355185382	355185382	PASS	baseline/external-baselines-20260624/livegraph/correctness.tsv	SemL0 scan dump vs dense converter edge count
LiveGraph	SF10	dense_edges_equals_livegraph_edges	355185382	355185382	PASS	baseline/external-baselines-20260624/livegraph/correctness.tsv	converter output vs LiveGraph loaded edge count
LiveGraph	SF10	positive_edge_type_scans	>=3	17	PASS	baseline/external-baselines-20260624/livegraph/correctness.tsv	positive typed-neighbor scan coverage
LiveGraph	SF10	query_count_digest	mismatches=0	checked=32140; unique=27579; mismatches=0	PASS	baseline/external-baselines-20260624/livegraph/correctness.tsv	fixed-seed dense-list vs LiveGraph count/hash digest; seed=42; samples_per_edge_type=1000
LSMGraph-style	SF30/SF100	internal benchmark completed	raw JSON present	3 metric rows	PASS-INTERNAL	baseline/semL0-ablation-results/traces/e11-*-lsmgraph_style-20260608	Use as SemL0 internal/layout-style baseline only; not an official external LSMGraph artifact.
Neo4j Community	SF10	query_count_hash_digest	mismatches=0	checked=1700; mismatches=0	PASS	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf10-main/query-results.json	fixed-seed dense-list truth vs Neo4j typed-neighbor traversal; all dense edge types are imported as distinct relationship types
Neo4j Community	SF1	query_count_digest	1700	checked=1700; mismatches=0	PASS	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf1-smoke/query-results.json	Same sampled typed-neighbor workload; count/hash digest matched; stale FAILED marker from an earlier attempt is superseded by current DONE/query-results PASS.
Neo4j Community	SF10	query_count_digest	1700	checked=1700; mismatches=0	PASS	baseline/external-baselines-20260626/3plus3-baselines/systems/neo4j/sf10-main/query-results.json	Same sampled typed-neighbor workload; count/hash digest matched.
TuGraph	SF1	query_count_digest	1700	checked=1700; mismatches=0	PASS	baseline/external-baselines-20260626/3plus3-baselines/systems/tugraph/sf1-full-r1/result.json	Full SF1 typed-neighbor workload over the same dense edge set; embedded C++ API driver.
TuGraph	SF10	query_count_digest	1700	checked=1700; mismatches=0	PASS	baseline/external-baselines-20260626/3plus3-baselines/systems/tugraph/sf10-main-r1/result.json	Full SF10 typed-neighbor workload over the same dense edge set; embedded C++ API driver.
