source_id	experiment_id	figure_id	source_kind	local_path	remote_path	local_sha256	git_sha_or_version	binary_hash	hardware	query_protocol	raw_status	correctness_gate	verdict	caveat
w6_sf10_fig1	E01	fig1-end-to-end	summary+partial_raw	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03				SF10 outgoing typed-neighbor; edge types 1,2,3,7,8,9,10,11,12; 1000 sampled sources/type; 3 same-store repeats; 9000 ops/repeat	LOCAL summary + manifest + DONE + 9 import time-v logs; bench/compare JSON remote-only	PASS 9000 per non-anchor variant	RERUN	External rows do not share SemL0 query list/type set/API/timing boundary.
w6_sf10_fig2	E03	fig2-component-ablation	summary+partial_raw	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03				SF10 outgoing typed-neighbor; edge types 1,2,3,7,8,9,10,11,12; 1000 sampled sources/type; 3 same-store repeats; 9000 ops/repeat	LOCAL summary + import raw; bench/compare JSON remote-only	PASS 9000 per non-anchor variant	FIX	Precomposed layout variants are not a full one-switch staircase; git SHA/binary hash/hardware manifest absent.
w6_sf10_fig3	E04	fig3-resource-tradeoff	raw_time_v+manifest	cidr-experiments/data/source-cache/w6-sf10-priority-20260709/manifest.tsv	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709	4e274d334c3521c3e46e6f47022e07c18ce77bae2ee59817788a774b9f1132b2				single SF10 import per variant under /usr/bin/time -v	LOCAL manifest + DONE + 9 import time-v logs	exit_status=0 for 9 imports	FIX	Import resource only; no read CPU/op/PSS/perf/compaction. Elapsed must parse full m:ss, not suffix after colon.
w6_sf10_old_resource_derived	E04	fig3-resource-tradeoff	derived_tsv_with_parser_bug	cidr-experiments/data/source-cache/priority-resource-overhead-20260709.tsv		e9a697181f13c6e8aa9500d7c5534ec8bea6ad350d8b36d8d22bdeb26707c4c3				derived from W6 SF10 time-v logs	LOCAL derived TSV	not a correctness artifact	FIX	Known parser defect: raw 3:19.49 was truncated to 19.49. Excluded from normalized candidates.
w6_sf10_fig6	E07	fig6-scalability	summary	cidr-experiments/data/source-cache/w6-sf10-priority-20260709-summary.md	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf10-priority-20260709	6b0090f4c452f360b55e396e5f4b5936f692eeaa60d8ab75068e5b8c05202b03				SF10 outgoing typed-neighbor; edge types 1,2,3,7,8,9,10,11,12; 1000 sampled sources/type; 3 same-store repeats; 9000 ops/repeat	PARTIAL local raw	PASS	RERUN	Only one of two scale points; no common commit/binary manifest.
w6_sf100_fig2	E03	fig2-component-ablation	summary	cidr-experiments/data/source-cache/sf100-matrix-20260613-cn.md	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf100-matrix-20260613-132325	c5d7f7fc89db1ae48c4e46ebf0d41122b0fa18897db0746a038f0eb69386f32c				SF100 outgoing typed-neighbor; edge types 1,2,3,7,8,9,10,11,12; 5000 sampled sources/type; 3 same-store repeats; 45000 ops/repeat	LOCAL summary; raw JSON/TSV remote-only	PASS 45000 per non-anchor variant	REUSE	Reuse only for layout-matrix facts; same-store repeats, Gate-1 latency fallback, read-byte overread caveat.
w6_sf100_fig3	E04	fig3-resource-tradeoff	summary	cidr-experiments/data/source-cache/sf100-matrix-20260613-cn.md	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf100-matrix-20260613-132325	c5d7f7fc89db1ae48c4e46ebf0d41122b0fa18897db0746a038f0eb69386f32c				single SF100 import per variant	LOCAL summary; raw time-v remote-only	PASS	FIX	Only rounded store/L0/import RSS locally summarized; structured CPU and exact disk breakdown absent.
w6_sf100_fig6	E07	fig6-scalability	summary	cidr-experiments/data/source-cache/sf100-matrix-20260613-cn.md	/data/WorkSpace/lsmgraph-rs/remote-logs/w6-sf100-matrix-20260613-132325	c5d7f7fc89db1ae48c4e46ebf0d41122b0fa18897db0746a038f0eb69386f32c				SF100 outgoing typed-neighbor; edge types 1,2,3,7,8,9,10,11,12; 5000 sampled sources/type; 3 same-store repeats; 45000 ops/repeat	LOCAL summary; raw remote-only	PASS	RERUN	SF10->SF100 is a two-point diagnostic, not a scaling curve; commit identity not tied.
c2_layer_a_fig4	E05	fig4-dynamic-compaction	paper_table_from_remote_raw	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md	/data/WorkSpace/lsmgraph-rs/baseline/path-b-c2/stage4-smoke-sf1-20260618.json; /data/WorkSpace/lsmgraph-rs/baseline/path-b-c2/stage5-scale-sf10class-20260618.json	760df119ec69db68a496b9bcf91f820da7ac676a9d3a9254e312c27475eaafec				controlled SF1/SF10-class typed-neighbor full-read before/after merge	LOCAL paper table; raw JSON remote-only	mismatches=0	REUSE	Controlled synthetic evidence; do not relabel as real LDBC.
c2_layer_b_fig4	E05	fig4-dynamic-compaction	paper_table_from_remote_raw	baseline/seml0-lifecycle-paper/tables/table-c2-retention.md	/data/WorkSpace/lsmgraph-rs/remote-logs/c2-sf30-real-20260619/{naive,semantic}.json	760df119ec69db68a496b9bcf91f820da7ac676a9d3a9254e312c27475eaafec				real SF30 open-mode merge; retention and write cost	LOCAL paper table; raw JSON remote-only	engine losslessness tests; no per-run query digest	REUSE	No full read workload in Layer B.
