candidate_id	group	priority	action	decision	runner_or_parser	store_or_input	estimated_wall	estimated_extra_disk	safe_under_current_shared_load	blocking_items	success_gate
P00-W6-RESOURCE-REPARSE	G3	P0	修复 time-v elapsed 解析并重生 SF10/SF100 import resource 表	PARSER_ONLY	baseline/render_priority_eval_supplement_20260709.py	remote-logs/w6-sf10-priority-20260709; remote-logs/w6-sf100-matrix-20260613-132325	10-20 min	<100 MiB	YES	修复对 h:mm:ss/m:ss 的显式解析	所有 elapsed 与原始 stderr 一致；schema SF10=199.49s
P00-RQ3-RESUMMARIZE	G4	P0	在 DONE 已存在后重跑 summarizer，修 partial-running 并导出 provisional 时间线	PARSER_ONLY	baseline/summarize_rq3_feedback_tail_20260623.py	remote-logs/rq3-formal-1800-20260623-174053	<10 min	<100 MiB	YES	无 benchmark 阻塞	三 arm final event=done；summary status=complete；29/29/0 compactions
P00-LEGACY-NORMALIZE	G1-G6	P0	统一 marker precedence、wrapped JSON、run/hash registry	PARSER_ONLY	existing summarizers + new registry normalizer	all named remote raw	30-90 min	<1 GiB	YES	定义 DONE/PASS/FAILED precedence 和 legacy schema	每个 raw 有 protocol_id、known_issues、artifact SHA
P00-W13-POINTER	G5	P0	将 W13 summary 解析源指向 20260615-143649，并保留 dirty commit 警告	PARSER_ONLY	baseline/summarize_w13 or registry mapping	remote-logs/w13-schema-evolution-20260615-143649	<10 min	<50 MiB	YES	顶层 summary 当前仍指旧 0004	10/10 tests 与实际 run_id 对齐
P01-SHARED-TRUTH-BRIDGE	G1	P0	持久化 dense-original 双向映射；让 SemL0/LiveGraph 消费同一 truth	IMPLEMENT_BEFORE_RUN	baseline/convert_livegraph_edges.py; LiveGraph drivers; new SemL0 truth runner	SF10 dense edges; truth-s50-seed42.tsv	2-6 h engineering + <1 h smoke	1-5 GiB	YES_FOR_CODE_AND_HASH_ONLY	当前 converter 不保存映射；digest 算法不同	所有系统读同一 truth SHA=876ec4...c788；SF1 0 mismatch
P02-SF1-CORRECTNESS-GATE	G1/G2/G5	P0	共享 truth、组件开关和 manifest 的非计时 SF1 gate	SMOKE_AFTER_EXPLICIT_GO	new matched/differential correctness runner	/data/WorkSpace/ldbc-sf1; existing/new SF1 stores	30-90 min	5-20 GiB	CONDITIONAL_CORRECTNESS_ONLY	本任务禁止启动；需显式授权；不得引用 timing	所有 query count/hash 0 mismatch；manifest 完整
P10-G1-SEML0-MATCHED-SF10	G1	P1	SemL0 naive/schema/B64/semantic 在统一 1700-query truth 上做 5 个独立 run	RERUN	new matched SemL0 runner based on baseline/run_w6_sf100_matrix_20260613.sh	store/w6-sf10-priority-20260709/schema; naive retained; B64/semantic must reimport	3-6 h	20-50 GiB sequential	NO	shared load；ID bridge；clean commit；固定 warmup/cache	相同 query SHA/order；5 process runs；0 mismatch；完整 P50/P95/P99
P11-G1-EXTERNAL-SF10	G1	P1	LiveGraph/Aster/Neo4j/TuGraph/Nebula 在当前机器做统一 truth、5 repeats 和资源采集	RERUN	baseline external scripts; LiveGraph performance driver must change	existing legacy stores 9.7/24/14/44 GiB only for smoke; fresh load for load metrics	12-20 h	130-180 GiB fresh set	NO	shared load；LiveGraph query consumer；当前硬件 manifest；外部服务清理	同 truth/order/cache；每系统5 run；0 mismatch；load/RSS/disk/latency齐全
P12-G1-LDBC-E2E	G1	P1	审计可等价 LDBC templates，修 runner 后做 SemL0/TuGraph/成熟 DBMS SF10	IMPLEMENT_AND_RERUN	scripts/experiments/active/run-e12-ldbc-end-to-end.sh; E9 driver	SF10 base/system stores	1-3 d engineering and runs	100-300 GiB	NO	E12 将同一旧 store 当 SF10/SF30；adapter 语义等价性未 gate；shared load	相同 operation stream/oracle；至少3 systems；1/8/16 threads；3 runs
P20-G2-STAIRCASE-SF10	G2	P1	实现 A0-A6 独立开关并做 SF10 组件 staircase	IMPLEMENT_AND_RERUN	new runner based on W6; config/feature switches needed	W6 schema/naive retained; other variants reimport	4-10 h after implementation	80-140 GiB if retained; 20-50 GiB sequential	NO	admission/routing/degree/feedback/compaction 当前未完全正交；shared load	单变量变化；固定 query list；5 process runs；0 mismatch；CPU/op和metadata cost
P21-G2-STAIRCASE-SF30	G2	P2	对 SF10 结论选 3-4 个关键 staircase 点做 SF30 复验	RERUN	new staircase runner	store/sf30-base-graph or fresh SF30 imports	8-20 h	80-180 GiB	NO	先完成 P20；shared load；store compatibility	关键阶段收益方向一致；3 runs；完整 digest/resources
P30-G3-IMPORT-PARETO-PROVISIONAL	G3	P0	仅用旧 raw 生成 import-only Pareto 并标历史硬件/单次	PARSER_ONLY	P00 parser + figure normalizer	W6 SF10/SF100 raw	30-60 min	<1 GiB	YES	必须限制 claim，不得写 full lifecycle	图注含 import-only、unknown run SHA/hardware、in-process repeats
P31-G3-FULL-RESOURCE-SF10	G3	P1	Schema/B16/B64/B256/B1024/full 的 import/open/read/mixed/compaction 资源矩阵	RERUN	new resource runner + PID telemetry	SF10 input 9.6 GiB; retained schema/naive not enough	6-14 h	90-180 GiB retained; 20-60 GiB sequential	NO	shared load；smaps/PSS、pidstat、disk breakdown collector 尚未接入	3 independent runs；CPU/op；peak/steady PSS；disk categories；temp peak
P40-G4-FIXED-TRACE-RQ3	G4	P1	none/capacity-naive/semantic-static/semantic-feedback 固定 trace 30min×3	RERUN	baseline/run_rq3_feedback_tail_20260623.sh after seed/trace/telemetry fix	store/sf30-base-graph 21 GiB; do not reuse mutated arm stores as clean base	6-10 h	45-100 GiB sequential; ~90 GiB concurrent	NO	wall-clock RNG；缺 semantic-static 同协议 arm；shared load；无 PID telemetry	所有 arm 同 trace SHA；3 runs；0 mismatch；event CPU/RSS/disk/QPS/P99
P41-G4-C2-FULL-READ	G4	P2	在 real SF30 naive/semantic post-merge 上执行 full body read 和 latency	RERUN	baseline/path-b-c2 runners + new full-read phase	store/c2-sf30-base 116 GiB	8-18 h	120-260 GiB	NO	现有仅 metadata proxy；shared load；需固定 query truth	retention + full read bytes + latency + digest + 3 runs
P50-G5-W8-PROVISIONAL	G5	P0	剥离 wrapped JSON、提取 embedded sources 并生成 property/2hop provisional heatmap	PARSER_ONLY	baseline/summarize_w8_property_2hop_20260615.py	remote-logs/w8-property-2hop-20260614-2025	30-60 min	<1 GiB	YES	无版本化 sample plan/digest；只能 provisional	明确 edge_type=1、5000 samples、3 in-process repeats、2-hop candidate 反向变化
P51-G5-WORKLOAD-SF10	G5	P1	selectivity×degree×semantics×hop×RW ratio 的可控 SF10 coverage matrix	IMPLEMENT_AND_RERUN	new coverage runner based on W8/W9	SF10 input; fresh schema/B64/semantic stores	12-24 h	60-150 GiB	NO	query stratifier/truth 未实现；shared load；property equality需单列	固定 cell query SHA；每 cell correctness；短查询5 runs；动态3 runs
P52-G5-SF30-REPRESENTATIVE	G5	P2	只对 SF10 中代表/异常 cell 做 SF30 复验和 workload shift	RERUN	W7/W8/W9 successor	store/sf30-base-graph plus selected fresh layout stores	12-30 h	100-250 GiB	NO	先完成 P51；shared load；旧 W7 为 derived trace	覆盖 rare/high-degree/2hop/shift；3 runs；资源和digest齐全
P60-G6-SCALE-SF1-30	G6	P1	naive/schema/B64/semantic 在 SF1/SF10/SF30 统一 query count 的前三点	RERUN	new scale runner based on W6/E11	SF1/SF10/SF30 inputs; store/sf30-base-graph reusable only if config compatible	8-18 h	120-300 GiB	NO	统一 sample plan generator；clean commit；shared load	每 scale 同 query 数/分层；5 short runs；归一化指标和绝对值
P61-G6-SCALE-SF100	G6	P2	只对最终选定 3-4 variants 补 SF100 第四点	RERUN	W6 successor with manifest/telemetry	store/sf100-base-graph 66 GiB; full layout stores must import	18-36 h	420-600 GiB transient	NO	先冻结 P60 结论；shared load；磁盘保留策略；SF100 store 134-146 GiB/variant	统一 query count；3 independent runs；digest/resources；四点 curve
P62-G6-CONCURRENCY	G6	P1	1/4/8/16/32 threads 的固定 operation stream、cpuset 和 tail scaling	RERUN	E9 high-thread runner after path/manifest fixes	SF10 SemL0 store; external systems optional after G1	4-12 h	20-80 GiB	NO	旧多线程尝试失败；仅4-thread 190-op smoke；shared load；CPU quota未固定	每线程5 runs；固定 stream；server+driver CPU/RSS/I/O；0 errors/timeouts
P70-DIFFERENTIAL-SAFETY	ALL/TABLE-C	P1	扩展 W13 为多 seed update/query/flush/compact/reopen 差分 stress	IMPLEMENT_AND_RERUN	baseline/run_w13_schema_evolution_20260613.sh successor	SF1 temp stores	2-8 h	5-30 GiB	CONDITIONAL_CORRECTNESS_ONLY	需 trace shrinker/digest；当前指令禁止启动	false negatives=0；失败保留最小 trace；记录 fallback rate/cost
